epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.886,2.60152,3.76706,1.17861,0.00216,0.05023,0.00284,0.00076,2.85294,4.91045,1.21433,0.000653595,0.000653595,0.000653595
2,302.286,2.58984,2.68744,1.13487,0.52052,0.06942,0.14766,0.04841,2.46527,3.92597,1.11914,0.00131373,0.00131373,0.00131373
3,338.921,2.58083,2.57114,1.16378,0.529,0.2513,0.25714,0.10398,2.1031,2.67195,1.16546,0.00196726,0.00196726,0.00196726
4,366.463,2.58307,2.46453,1.16514,0.49206,0.26541,0.26065,0.08893,1.9394,2.11877,1.09038,0.0019703,0.0019703,0.0019703
5,394.823,2.46846,2.19367,1.10926,0.51236,0.30137,0.31577,0.1264,1.89787,1.59757,1.10211,0.0019604,0.0019604,0.0019604
6,422.515,2.44417,2.13237,1.13052,0.26719,0.21918,0.12615,0.04621,2.53507,3.32407,1.3672,0.0019505,0.0019505,0.0019505
7,450.292,2.45972,2.17229,1.15041,0.41858,0.27397,0.2532,0.08746,2.00133,2.21626,1.11781,0.0019406,0.0019406,0.0019406
8,477.488,2.45435,2.11239,1.1413,0.4373,0.26027,0.23306,0.08902,2.26584,2.5431,1.23971,0.0019307,0.0019307,0.0019307
9,505.328,2.43455,1.99047,1.10515,0.46248,0.26484,0.26548,0.09837,2.41842,2.37376,1.24244,0.0019208,0.0019208,0.0019208
10,533.561,2.46576,2.02235,1.08799,0.50381,0.28767,0.29934,0.10216,2.12589,2.00757,1.16523,0.0019109,0.0019109,0.0019109
11,556.977,2.3567,1.88134,1.10062,0.52066,0.28311,0.28186,0.10863,2.22423,1.8717,1.23381,0.001901,0.001901,0.001901
12,580.464,2.45587,1.91471,1.10681,0.43654,0.2968,0.29517,0.1216,2.35321,1.70024,1.26831,0.0018911,0.0018911,0.0018911
13,600.112,2.28242,1.80193,1.12233,0.60326,0.25571,0.29409,0.12141,2.16325,2.33563,1.17119,0.0018812,0.0018812,0.0018812
14,618.891,2.33714,1.86207,1.09357,0.62276,0.29224,0.3435,0.14361,1.92321,1.63959,1.13674,0.0018713,0.0018713,0.0018713
15,646.721,2.37031,1.82257,1.08601,0.48755,0.34247,0.34039,0.13711,2.1821,1.73006,1.15096,0.0018614,0.0018614,0.0018614
16,665.788,2.28869,1.79086,1.09436,0.59285,0.30594,0.33397,0.13507,2.17031,1.59981,1.1555,0.0018515,0.0018515,0.0018515
17,684.684,2.29209,1.75471,1.08031,0.51942,0.3242,0.33097,0.12032,2.22157,1.62623,1.19686,0.0018416,0.0018416,0.0018416
18,712.328,2.30622,1.76815,1.09636,0.54378,0.31023,0.32634,0.12877,2.20007,1.79846,1.17035,0.0018317,0.0018317,0.0018317
19,735.016,2.31495,1.74071,1.06656,0.52023,0.28223,0.3139,0.11827,2.29588,1.75204,1.20916,0.0018218,0.0018218,0.0018218
20,758.634,2.28673,1.72662,1.08942,0.6364,0.30137,0.35,0.13828,1.90022,1.45274,1.1412,0.0018119,0.0018119,0.0018119
