image,n_gt,n_yolo_pred,n_sahi_pred,TP_y,FP_y,FN_y,TP_s,FP_s,FN_s,y_time,s_time
test_0000.jpg,11,6,7,6,0,5,6,1,5,0.19682097434997559,0.1697993278503418
test_0001.jpg,11,9,7,8,1,3,7,0,4,0.1140449047088623,0.11511397361755371
test_0002.jpg,2,2,2,2,0,0,2,0,0,0.12952136993408203,0.15291595458984375
test_0003.jpg,10,0,0,0,0,10,0,0,10,0.14908576011657715,0.14583611488342285
test_0004.jpg,18,5,3,4,1,14,2,1,16,0.16238999366760254,0.13769912719726562
test_0005.jpg,18,4,7,4,0,14,6,1,12,0.1328108310699463,0.13363409042358398
test_0006.jpg,20,16,16,14,2,6,14,2,6,0.14059782028198242,0.16276812553405762
test_0007.jpg,26,18,18,14,4,12,15,3,11,0.15535593032836914,0.14754319190979004
test_0009.jpg,14,11,11,10,1,4,10,1,4,0.14458203315734863,0.13161301612854004
test_0010.jpg,5,2,1,2,0,3,1,0,4,0.18513727188110352,0.20824003219604492
test_0011.jpg,10,4,9,1,3,9,4,5,6,0.36779308319091797,0.2840590476989746
test_0012.jpg,15,15,14,14,1,1,14,0,1,0.21213698387145996,0.23773622512817383
test_0013.jpg,8,4,4,4,0,4,4,0,4,0.20962977409362793,0.18418288230895996
test_0014.jpg,7,3,3,3,0,4,3,0,4,0.16168808937072754,0.17872905731201172
test_0015.jpg,8,1,0,1,0,7,0,0,8,0.1821739673614502,0.176347017288208
test_0016.jpg,2,0,0,0,0,2,0,0,2,0.1851823329925537,0.25537705421447754
